datetime: 2014-01-01 01:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.6464281590276402 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.6496315603200529 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.6496681988049904 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.6499342431331403 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.6498953207237843 ,rms: 17.6175994015329
datetime: 2014-01-01 01:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.6498865320216591 ,rms: 16.07496169387813
datetime: 2014-01-01 01:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.649880689683747 ,rms: 16.128034688258474
datetime: 2014-01-01 01:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.6498806441961147 ,rms: 15.826763787506621
datetime: 2014-01-01 01:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 4.9897603125920789 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 3.9530396042930813 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.1196049288872443 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.1210322693348784 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.0256304741817752 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.0203297467450305 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.0249985317049601 ,rms: nan
