datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 41.148024094508152 ,rms: 976.71999999999991
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 41.17709393417595 ,rms: 976.71999999999991
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 41.162569473868594 ,rms: 976.71999999999991
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 41.188556874352997 ,rms: 976.71999999999991
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 41.974337397986403 ,rms: 2525.5620000000004
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 28.790601765159408 ,rms: 2055.9620000000004
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 43.210762991010775 ,rms: 1938.3620000000003
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 45.682671388834642 ,rms: 874.56200000000013
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 43.909085849741956 ,rms: 1027.5620000000001
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 43.942648358956056 ,rms: 875.76800000000003
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 43.717918882629931 ,rms: 875.76800000000003
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 43.804706716384132 ,rms: 875.76800000000003
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 43.802943096879353 ,rms: 875.76800000000003
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 43.818286945426962 ,rms: 875.76800000000003
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 39.566810586652046 ,rms: 1648.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 29.189164834746467 ,rms: 2384.0
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 39.733607196129661 ,rms: 3733.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 45.377753924321816 ,rms: 3463.0
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 42.850603448415292 ,rms: 2038.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 42.463106949235915 ,rms: 2038.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 42.308100518050132 ,rms: 1784.0
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 42.358808952957602 ,rms: 1784.0
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 42.327114660353416 ,rms: 1784.0
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 42.342295816752049 ,rms: 1784.0
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 39.566810586652046 ,rms: 1966.2
